,Date,Acc_Revenue
0,2000-03-31,877498
1,2000-06-30,1690009
2,2000-09-30,3522524
3,2000-12-31,5250345
4,2001-03-31,1515505
5,2001-06-30,2867381
6,2001-09-30,4375013
7,2001-12-31,6525585
8,2002-03-31,1661506
9,2002-06-30,3205448
10,2002-09-30,4889829
11,2002-12-31,7325302
12,2003-03-31,1985193
13,2003-06-30,3852985
14,2003-09-30,5873866
15,2003-12-31,8683767
16,2004-03-31,2370493
17,2004-06-30,4552221
18,2004-09-30,7503190
19,2004-12-31,12006812
20,2005-03-31,3695591
21,2005-06-30,7399891
22,2005-09-30,11310219
23,2005-12-31,15958565
24,2006-03-31,3969723
25,2006-06-30,8006862
26,2006-09-30,12344182
27,2006-12-31,17613657
28,2007-03-31,4655002
29,2007-06-30,9180055
30,2007-09-30,13821772
31,2007-12-31,19648220
32,2008-03-31,4847789
33,2008-06-30,9587235
34,2008-09-30,14397139
35,2008-12-31,20899468
36,2009-03-31,5655683
37,2009-06-30,11003817
38,2009-09-30,16415410
39,2009-12-31,23194048
40,2010-03-31,6121422
41,2010-06-30,11799795
42,2010-09-30,17777966
43,2010-12-31,25233310
44,2011-03-31,6562098
45,2011-06-30,12373744
46,2011-09-30,18748278
47,2011-12-31,27126719
48,2012-03-31,7235714
49,2012-06-30,14061117
50,2012-09-30,22097139
51,2012-12-31,32231027
52,2013-03-31,7772806
53,2013-06-30,15275939
54,2013-09-30,23738542
55,2013-12-31,34791391
56,2014-03-31,9045072
57,2014-06-30,17222505
58,2014-09-30,25846901
59,2014-12-31,38079786
60,2015-03-31,10768793
61,2015-06-30,20678795
62,2015-09-30,31423915
63,2015-12-31,46720141
64,2016-03-31,11565098
65,2016-06-30,21942302
66,2016-09-30,32425090
67,2016-12-31,45602561
68,2017-03-31,11241805
69,2017-06-30,21509758
70,2017-09-30,32872061
71,2017-12-31,47899276
72,2018-03-31,11640219
73,2018-06-30,23149764
74,2018-09-30,34213507
75,2018-12-31,50231336
76,2019-03-31,12640126
77,2019-06-30,24785259
78,2019-09-30,36742911
79,2019-12-31,52599709
80,2020-03-31,12602597
81,2020-06-30,24217927
82,2020-09-30,39822425
83,2020-12-31,58378995
84,2021-03-31,16639761
85,2021-06-30,32350902
86,2021-09-30,50843511
87,2021-12-31,72854344
88,2022-03-31,18439152
89,2022-06-30,36428147
90,2022-09-30,57015789
91,2022-12-31,69832525
