,Data,Consumo
0,1979.01,5623
1,1979.02,5551
2,1979.03,5725
3,1979.04,5797
4,1979.05,6002
5,1979.06,5988
6,1979.07,6054
7,1979.08,6022
8,1979.09,6353
9,1979.1,6144
10,1979.11,6393
11,1979.12,6337
12,1980.01,6276
13,1980.02,6239
14,1980.03,6266
15,1980.04,6393
16,1980.05,6458
17,1980.06,6559
18,1980.07,6467
19,1980.08,6879
20,1980.09,6817
21,1980.1,6800
22,1980.11,7145
23,1980.12,6636
24,1981.01,7150
25,1981.02,6563
26,1981.03,6878
27,1981.04,6527
28,1981.05,6751
29,1981.06,6464
30,1981.07,6584
31,1981.08,6813
32,1981.09,6561
33,1981.1,6599
34,1981.11,6754
35,1981.12,6452
36,1982.01,6702
37,1982.02,6354
38,1982.03,6570
39,1982.04,7255
40,1982.05,6829
41,1982.06,6998
42,1982.07,7080
43,1982.08,7275
44,1982.09,7381
45,1982.1,7189
46,1982.11,7285
47,1982.12,7046
48,1983.01,7151
49,1983.02,6860
50,1983.03,6902
51,1983.04,7659
52,1983.05,7157
53,1983.06,7804
54,1983.07,7373
55,1983.08,7400
56,1983.09,7937
57,1983.1,7694
58,1983.11,7620
59,1983.12,7547
60,1984.01,7704
61,1984.02,8008
62,1984.03,8198
63,1984.04,7815
64,1984.05,8125
65,1984.06,8342
66,1984.07,8231
67,1984.08,8550
68,1984.09,8790
69,1984.1,8307
70,1984.11,9096
71,1984.12,8463
72,1985.01,8598
73,1985.02,8665
74,1985.03,8690
75,1985.04,9170
76,1985.05,8807
77,1985.06,9039
78,1985.07,8510
79,1985.08,9359
80,1985.09,9368
81,1985.1,9098
82,1985.11,9472
83,1985.12,9080
84,1986.01,9130
85,1986.02,9104
86,1986.03,8522
87,1986.04,9014
88,1986.05,9674
89,1986.06,9406
90,1986.07,9324
91,1986.08,9912
92,1986.09,9658
93,1986.1,9716
94,1986.11,10145
95,1986.12,9251
96,1987.01,9992
97,1987.02,9074
98,1987.03,9502
99,1987.04,9227
100,1987.05,9734
101,1987.06,9219
102,1987.07,9469
103,1987.08,10006
104,1987.09,9753
105,1987.1,9785
106,1987.11,10067
107,1987.12,9589
108,1988.01,10152
109,1988.02,9761
110,1988.03,9704
111,1988.04,10320
112,1988.05,9462
113,1988.06,9791
114,1988.07,9989
115,1988.08,9882
116,1988.09,10627
117,1988.1,10388
118,1988.11,9963
119,1988.12,9994
120,1989.01,9959
121,1989.02,10238
122,1989.03,9383
123,1989.04,10604
124,1989.05,9860
125,1989.06,10300
126,1989.07,10533
127,1989.08,10365
128,1989.09,11250
129,1989.1,10540
130,1989.11,10826
131,1989.12,10268
132,1990.01,10458
133,1990.02,10754
134,1990.03,10165
135,1990.04,10492
136,1990.05,9267
137,1990.06,10046
138,1990.07,9719
139,1990.08,10303
140,1990.09,11063
141,1990.1,10377
142,1990.11,11052
143,1990.12,10204
144,1991.01,9981
145,1991.02,10236
146,1991.03,9515
147,1991.04,10133
148,1991.05,10555
149,1991.06,10763
150,1991.07,10246
151,1991.08,11126
152,1991.09,11206
153,1991.1,10855
154,1991.11,11231
155,1991.12,10628
156,1992.01,10590
157,1992.02,10610
158,1992.03,10543
159,1992.04,10259
160,1992.05,10771
161,1992.06,10425
162,1992.07,10592
163,1992.08,11027
164,1992.09,10782
165,1992.1,10744
166,1992.11,11085
167,1992.12,10403
168,1993.01,10803
169,1993.02,10371
170,1993.03,10427
171,1993.04,11516
172,1993.05,10881
173,1993.06,10949
174,1993.07,10874
175,1993.08,11267
176,1993.09,11443
177,1993.1,11170
178,1993.11,11367
179,1993.12,10898
180,1994.01,10895
181,1994.02,10773
182,1994.03,10595
183,1994.04,11432
184,1994.05,10712
185,1994.06,11242
186,1994.07,10737
187,1994.08,11028
188,1994.09,11842
189,1994.1,11695
190,1994.11,11626
191,1994.12,11552
192,1995.01,11876
193,1995.02,11914
194,1995.03,11659
195,1995.04,12243
196,1995.05,11660
197,1995.06,11737
198,1995.07,11792
199,1995.08,11777
200,1995.09,12575
201,1995.1,11981
202,1995.11,12525
203,1995.12,11987
204,1996.01,11898
205,1996.02,12372
206,1996.03,12184
207,1996.04,12618
208,1996.05,12461
209,1996.06,12617
210,1996.07,12059
211,1996.08,13114
212,1996.09,12989
213,1996.1,12927
214,1996.11,13050
215,1996.12,12798
216,1997.01,13149
217,1997.02,13216
218,1997.03,12768
219,1997.04,13040
220,1997.05,13395
221,1997.06,13096
222,1997.07,13093
223,1997.08,13654
224,1997.09,13656
225,1997.1,13869
226,1997.11,14231
227,1997.12,13513
228,1998.01,14099
229,1998.02,13559
230,1998.03,13347
231,1998.04,14114
232,1998.05,13849
233,1998.06,13229
234,1998.07,13446
235,1998.08,14101
236,1998.09,14224
